name,rating,reviews,img,lat,lng,map_link
MOJO 1921 咖啡 | 甜點 | 下午茶 | 餐盒 | 中山站 | 不限時｜包場活動,"4.8
(401)",122,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZftNlNicv-9DUJB6VihM0Hyc_wotyh1rGbBq5wDvyOBrIbrHHFEiCYC9BWKl-9mbCm9DyBPTgY5CgrEPKrmT-s5G5uNqRrM0JFchKJKnezgx6Nt_T8MzrYniwW_0VIvmSEUD_=w408-h544-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/MOJO+1921+%E5%92%96%E5%95%A1+%7C+%E7%94%9C%E9%BB%9E+%7C+%E4%B8%8B%E5%8D%88%E8%8C%B6+%7C+%E9%A4%90%E7%9B%92+%7C+%E4%B8%AD%E5%B1%B1%E7%AB%99+%7C+%E4%B8%8D%E9%99%90%E6%99%82%EF%BD%9C%E5%8C%85%E5%A0%B4%E6%B4%BB%E5%8B%95/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a9f11e3f9af7:0xa999a0fee6ed082e!8m2!3d25.0505778!4d121.5195215!16s%2Fg%2F11fqymtdpd?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
瑤池墮宮 YCDG,"4.7
(249)","2,301",N/A,23.8867444,115.7002064,"https://www.google.com/maps/place/%E7%91%A4%E6%B1%A0%E5%A2%AE%E5%AE%AE+YCDG/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a907dc85a649:0x7dabf8c298236135!8m2!3d25.0619896!4d121.5251147!16s%2Fg%2F11kbhbcsnq?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Binôme Café 彼儂咖啡館,"4.6
(295)",193,https://lh3.googleusercontent.com/p/AF1QipMkjO_KHeAePmd32faludZU0cMCOLGiYolaABKE=w426-h240-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Bin%C3%B4me+Caf%C3%A9+%E5%BD%BC%E5%84%82%E5%92%96%E5%95%A1%E9%A4%A8/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a95c076c6a4d:0x8c4203ae3d7f7257!8m2!3d25.021976!4d121.5537654!16s%2Fg%2F11fyxc85k2?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Aura微光咖啡,"4.4
(536)",99,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqmtiR9OWgMQL9gvtC6O6ZPt_th_BM24ivQggoZf0xFj5Dk4PC3Uk-bGKqsiYS9X4B0ZAamDCwrg8MyKRAH3WzR01wWKbGGpI0NZHJoE15zYaIEpZMmmacZPyjB9aN235C1jkTN=w408-h307-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Aura%E5%BE%AE%E5%85%89%E5%92%96%E5%95%A1/@23.8867444,115.7002064,6z/data=!3m1!5s0x3442a98eb9e3caeb:0xab0afdb36fa1868e!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a98eba028245:0x5fc669a84a67f8b!8m2!3d25.0194571!4d121.5305872!16s%2Fg%2F1ptxs1cvx?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
山海What’s Life Coffee Roasters（恕不接受五位以上內用）,"4.8
(466)",,https://lh3.googleusercontent.com/p/AF1QipNmiO8ZQ-pC5UybN2UPBP5goarYPpD9jOS5OSeK=w408-h306-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/%E5%B1%B1%E6%B5%B7What%E2%80%99s+Life+Coffee+Roasters%EF%BC%88%E6%81%95%E4%B8%8D%E6%8E%A5%E5%8F%97%E4%BA%94%E4%BD%8D%E4%BB%A5%E4%B8%8A%E5%85%A7%E7%94%A8%EF%BC%89/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a90d1c87706d:0xbcc1dc3fa2c1aea4!8m2!3d25.0710101!4d121.5196661!16s%2Fg%2F11mbjh3g6d?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
ハハ珈琲店,"4.6
(812)",668,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5bTRWSmwu_RL_8_RMuCUTFOvCSRDYqQoMpu1wXeinNZ3wbnJBZNkBiSFED5tlqRjC0qJud_iC73xpfIoG0164_02TEPueiR1YkxbHN83lWZYbSus7wCJwS2jKNd9P6ncRvFSA4A=w408-h544-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/%E3%83%8F%E3%83%8F%E7%8F%88%E7%90%B2%E5%BA%97/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a94ff5d6918f:0xe0c0a51143c17f2e!8m2!3d25.0677194!4d121.5244965!16s%2Fg%2F11c43c96qx?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
木子咖啡 Muzi Cafe,"4.8
(393)",540,https://lh3.googleusercontent.com/p/AF1QipPONrxo45aRVtKdp_H7A9HuHVfb64XeOwgwCFnT=w408-h408-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/%E6%9C%A8%E5%AD%90%E5%92%96%E5%95%A1+Muzi+Cafe/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x346e1b81c9280d9b:0xc27e79d9871149a7!8m2!3d22.6255562!4d120.3482821!16s%2Fg%2F11t6wwbvk5?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
點滴二三室｜COFFEE BIT BY BIT,"4.9
(182)",306,https://lh3.googleusercontent.com/p/AF1QipPgOBpmt4O7Cs-uBUe4foB-0e0wO29ITV1J2pSG=w408-h319-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/%E9%BB%9E%E6%BB%B4%E4%BA%8C%E4%B8%89%E5%AE%A4%EF%BD%9CCOFFEE+BIT+BY+BIT/@23.8867444,115.7002064,6z/data=!3m1!5s0x3442a83e0cde2ca9:0x99d37d5a2b97e900!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a900194ba915:0x7b3544e4c43a7729!8m2!3d25.0225759!4d121.4695591!16s%2Fg%2F11lp6clny1?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
Ten Ten Den Den 點點甜甜,"4.3
(1,730)",296,https://lh3.googleusercontent.com/p/AF1QipNYkMZmSN0_J3nginhBytOYTmbn9VL_OoXww6VG=w408-h271-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/Ten+Ten+Den+Den+%E9%BB%9E%E9%BB%9E%E7%94%9C%E7%94%9C/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a81a160431bf:0x1253b4b5e8b68236!8m2!3d25.0173549!4d121.461712!16s%2Fg%2F11c3tr8g_9?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
路燈咖啡 師大店,"4.1
(891)",396,https://lh3.googleusercontent.com/p/AF1QipM8tmzUWMXaeZqZhsW4zI0mQ1m0prU0E4r8dk1J=w408-h272-k-no,23.8867444,115.7002064,"https://www.google.com/maps/place/%E8%B7%AF%E7%87%88%E5%92%96%E5%95%A1+%E5%B8%AB%E5%A4%A7%E5%BA%97/@23.8867444,115.7002064,6z/data=!4m10!1m3!11m2!2sgG_1LwZ8Se2fYnqCun_QKw!3e3!3m5!1s0x3442a98560fb737d:0xa7918fa5bf393acc!8m2!3d25.0244528!4d121.5268389!16s%2Fg%2F12m95l35c?entry=ttu&g_ep=EgoyMDI1MDYwNC4wIKXMDSoASAFQAw%3D%3D"
